Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cardconsents,,,,07-11-2024 15:40:27,07-11-2024 15:40:39,11.806s,FAILED
,,,,,,,
Test Cases/TIP_Management/card-consents/FCA-15725_GET_TIP_Card_Consent_by_Id,,TIP Management - GET TIP Card Consents,"getConsentsQuery,getCardConsentsById",07-11-2024 15:40:28,07-11-2024 15:40:37,8.998s,FAILED
Start listener action : Before,,,,07-11-2024 15:40:29,07-11-2024 15:40:33,3.215s,PASSED
"if (flag == ""Y"")",,,,07-11-2024 15:40:33,07-11-2024 15:40:36,2.391s,FAILED
Start listener action : afterTestCase,,,,07-11-2024 15:40:36,07-11-2024 15:40:37,0.885s,FAILED
,,,,,,,
Test Cases/TIP_Management/card-consents/FCA_15723_GET_TIP_Card_Consents,,TIP Management - GET TIP Card Consents,"getConsentsQuery,getCardConsents",07-11-2024 15:40:37,07-11-2024 15:40:39,2.214s,FAILED
Start listener action : Before,,,,07-11-2024 15:40:38,07-11-2024 15:40:38,0.011s,PASSED
"if (flag == ""Y"")",,,,07-11-2024 15:40:39,07-11-2024 15:40:39,0.414s,FAILED
Start listener action : afterTestCase,,,,07-11-2024 15:40:39,07-11-2024 15:40:39,0.089s,FAILED
