Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cardconsents,,,,07-11-2024 16:34:44,07-11-2024 16:34:58,13.883s,FAILED
,,,,,,,
Test Cases/TIP_Management/card-consents/FCA-15725_GET_TIP_Card_Consent_by_Id,,TIP Management - GET TIP Card Consents,"getConsentsQuery,getCardConsentsById",07-11-2024 16:34:44,07-11-2024 16:34:56,11.376s,PASSED
Start listener action : Before,,,,07-11-2024 16:34:46,07-11-2024 16:34:49,3.085s,PASSED
"if (flag == ""Y"")",,,,07-11-2024 16:34:50,07-11-2024 16:34:55,4.449s,PASSED
Start listener action : afterTestCase,,,,07-11-2024 16:34:55,07-11-2024 16:34:56,0.786s,PASSED
,,,,,,,
Test Cases/TIP_Management/card-consents/FCA_15723_GET_TIP_Card_Consents,,TIP Management - GET TIP Card Consents,"getConsentsQuery,getCardConsents",07-11-2024 16:34:56,07-11-2024 16:34:58,1.950s,FAILED
Start listener action : Before,,,,07-11-2024 16:34:56,07-11-2024 16:34:56,0.008s,PASSED
"if (flag == ""Y"")",,,,07-11-2024 16:34:56,07-11-2024 16:34:57,1.068s,FAILED
Start listener action : afterTestCase,,,,07-11-2024 16:34:57,07-11-2024 16:34:58,0.236s,FAILED
