Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCA-56527_QueryAirlineContactInformation,,,,30-09-2024 17:01:15,30-09-2024 17:01:27,12.018s,PASSED
,,,,,,,
Test Cases/Airline_Management/airline-contact-information/FCA_56527_QueryAirlineContactInformation,,airline-contact-information,"getQuery,airlineContactInfo,getAirlineContactInfo",30-09-2024 17:01:15,30-09-2024 17:01:27,11.425s,PASSED
Start listener action : Before,,,,30-09-2024 17:01:17,30-09-2024 17:01:20,2.897s,PASSED
"if (flag == ""Y"")",,,,30-09-2024 17:01:21,30-09-2024 17:01:26,5.376s,PASSED
Start listener action : afterTestCase,,,,30-09-2024 17:01:26,30-09-2024 17:01:27,0.625s,PASSED
