Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
remittance,,,,11-10-2024 18:03:38,11-10-2024 18:03:50,11.654s,PASSED
,,,,,,,
Test Cases/Variable_Remittance/Remittance Settings/FCA-16034_QueryRemittanceSettingsForAgents,,airline-contact-information,"getQuery,queryRemittanceSettings",11-10-2024 18:03:38,11-10-2024 18:03:50,11.075s,PASSED
Start listener action : Before,,,,11-10-2024 18:03:40,11-10-2024 18:03:43,3.118s,PASSED
"if (flag == ""Y"")",,,,11-10-2024 18:03:44,11-10-2024 18:03:49,4.691s,PASSED
Start listener action : afterTestCase,,,,11-10-2024 18:03:49,11-10-2024 18:03:50,0.666s,PASSED
