"Code"|"Name"|"Designator"|"Template"
"125"|"British Airways p.l.c."|"BA"|""
"126"|"PT. Garuda Indonesia (PERSERO) Tbk dba Garuda Indonesia"|"GA"|""
"127"|"GOL Linhas Aereas S.A."|"G3"|""
"128"|"Hong Kong Express Airways Limited"|"UO"|""
"129"|"Martinair Holland N.V."|"MP"|""
"130"|"Fly One S.R.L."|"5F"|""
"131"|"Japan Airlines Co., Ltd."|"JL"|""
"132"|"Compania Mexicana de AviacionS.A. de C.V."|"MX"|""
"133"|"Avianca Costa Rica, S.A. dba Avianca Costa Rica, S.A."|"LR"|""
"134"|"Aerovias del Continente Americano S.A. AVIANCA"|"AV"|""
"135"|"Air Tahiti"|"VT"|""
"136"|"Cubana de Aviacion S.A."|"CU"|""
"138"|"OJSC Air Kyrgyzstan"|"QH"|""
"139"|"Aeromexico"|"AM"|""
"140"|"LIAT (1974) Ltd."|"LI"|""
"141"|"Flydubai dba Dubai Aviation Corporation "FLYDUBAI""|"FZ"|""
"142"|"Air Belgium SA"|"KF"|""
"143"|"Cielos del Sur S.A. dba Austral Lineas Aereas S.A."|"AU"|""
"146"|"Air Corsica"|"XK"|""
"147"|"Royal Air Maroc"|"AT"|""
"148"|"Libyan Airlines"|"LN"|""
"149"|"Luxair"|"LG"|""
"150"|"Tunisair Express"|"UG"|""
"151"|"Jordan Aviation dba Jordan Aviation Airlines"|"R5"|""
"152"|"Aeropostal Alas de Venezuela C.A."|"VH"|""
"153"|"Sabre Inc."|"1S"|""
"154"|"Closed Joint Stock Company "IrAero""|"IO"|""
"156"|"Star Up S.A. dba Star Peru"|"2I"|""
"157"|"Qatar Airways (Q.C.S.C.)"|"QR"|""
"160"|"Cathay Pacific Airways Ltd."|"CX"|""
"161"|"Comair Ltd."|"MN"|""
"162"|"Polynesian Limited dba Samoa Airways"|"OL"|""
"163"|"HOP"|"A5"|""
"164"|"Aerocaribbean S.A."|"7L"|""
"165"|"Adria Airways d.o.o."|"JP"|""
"166"|"Pelican Airlines Pty Ltd"|"FP"|""
"167"|"Air Malawi Limited"|"QM"|""
"168"|"Air Zimbabwe (Pvt) Ltd."|"UM"|""
"169"|"Hahn Air Lines GmbH"|"HR"|""
"170"|"TransAsia Airways Corporation"|"GE"|""
"171"|"FlyEgypt"|"FT"|""
"173"|"Hawaiian Airlines, Inc."|"HA"|""
"176"|"Emirates"|"EK"|"EFFICIENT"
"177"|"Avian Lineas Aereas S.A. (Avianca)"|"A0"|""
"178"|"TUI Airlines Nederland B.V."|"OR"|""
"180"|"Korean Air Lines Co. Ltd."|"KE"|""
"181"|"Public JSC "Aviation Company " Dniproavia""|"Z6"|""
"182"|"MALEV-HUNGARIAN AIRLINES"|"MA"|""
"183"|"JSC "Bek Air""|"Z9"|""
"184"|"Boutique Air, Inc."|"4B"|""
"185"|"Pan Am World Airways Dominicana S.A"|"7N"|""
"186"|"Air Namibia"|"SW"|""
"187"|"Touristic Aviation Services Ltd dba Corendon Airlines Europe"|"XR"|""
"188"|"Cambodia Angkor Air t/a Cambodia Angkor Air Co., Ltd."|"K6"|""
"189"|"V Air Corporation"|"ZV"|""
"190"|"Air Caledonie"|"TY"|""
"191"|"Air Italy S.p.A. dba Air Italy S.p.A."|"IG"|""
"192"|"Surinam Airways Ltd."|"PY"|""
"193"|"Solomon Airlines Limited"|"IE"|""
"194"|"Macair Jet S.A."|"VM"|""
"195"|"Rossiya Airlines JSC"|"FV"|""
"197"|"Air Tanzania Company Ltd."|"TC"|""
"198"|"Svenska Direktflyg AB"|"HS"|""
"199"|"Tunisair"|"TU"|""
"200"|"Sudan Airways Co. Ltd."|"SD"|""
"201"|"Regional Jet Ou"|"EE"|""
"202"|"TACA International Airlines S.A."|"TA"|""
"203"|"Cebu Air, Inc dba Cebu Pacific Air"|"5J"|""
"205"|"All Nippon Airways Co. Ltd."|"NH"|""
"206"|"Yan Air Ltd"|"YE"|""
"207"|"Cairo Aviation"|"OE"|""
"209"|"Arubaanse Luchtvaart Maatschappij NV dba Aruba Airlines"|"AG"|""
"211"|"Air Philippines Corporation dba PAL Express and Airphil Express"|"2P"|""
"213"|"Dac International Airlines Limited"|"OP"|""
"214"|"Pakistan International Airlines"|"PK"|""
"215"|"Braathens Regional Airways AB"|"DC"|""
"216"|"LLC "Nord Wind""|"N4"|""
"217"|"Thai Airways International Public Company Ltd."|"TG"|""
"218"|"Air Vanuatu (Operations) Limited"|"NF"|""
"219"|"Air Creebec (1994) Inc."|"YN"|""
"220"|"Deutsche Lufthansa AG"|"LH"|"LEAN"
"221"|"Swiftair S.A."|"WT"|""
"222"|"JSC "AZIMUTH Airlines""|"A4"|""
"223"|"Trans Air Congo (TAC)"|"Q8"|""
"224"|"Aviation Services, Ltd. dba Freedom Air"|"FP"|""
