"Code"|"Name"|"Designator"|"Template"
"220"|"Deutsche Lufthansa AG"|"LH"|"LEAN"
"226"|"Air Burkina"|"2J"|""
"229"|"Kuwait Airways"|"KU"|""
"230"|"Compania Panamena de Aviacion, S.A. (COPA)"|"CM"|""
"231"|"Lauda Air Luftfahrt AG"|"NG"|""
"232"|"Malaysia Airlines Berhad dba Malaysia Airlines"|"MH"|""
"235"|"Turkish Airlines Inc."|"TK"|""
"236"|"British Midland Airways Ltd. dba bmi"|"BD"|""
"238"|"Arkia Israeli Airlines"|"IZ"|""
"239"|"Air Mauritius Ltd"|"MK"|""
"242"|"SOUTHERN WINDS"|"A4"|""
"244"|"Air Tahiti Nui"|"TN"|""
"246"|"Germania Fluggesellschaft mbH"|"ST"|""
"247"|"Oceanair Linhas Aereas S.A. t/a Avianca (Brasil)"|"O6"|""
"249"|"Santa Barbara Airlines C.A."|"S3"|""
"250"|"Uzbekistan Airways"|"HY"|""
"251"|"CIRRUS AIRLINES"|"C9"|""
"257"|"Austrian Airlines AG dba Austrian"|"OS"|""
"258"|"Air Madagascar"|"MD"|""
"260"|"Air Pacific Limited t/a Fiji Airway"|"FJ"|""
"261"|"Alianza Glancelot, C.A."|"I5"|""
"262"|"Joint Stock Company \"Ural Airlines\""|"U6"|""
"263"|"Mahogany Air"|"2A"|""
"266"|"Fly Jamaica Airways"|"LT"|""
"267"|"Flybe Limited"|"BE"|""
"269"|"TAME Linea Aerea del Ecuador"|"EQ"|""
"275"|"APG Airlines"|"GP"|""
"281"|"COMPANIA NATIONALA DE TRANSPORTURI AERIENE ROMANE TAROM S.A."|"RO"|""
"289"|"MIAT Mongolian Airlines"|"OM"|""
"294"|"Twin Jet"|"T7"|""
"297"|"China Airlines Ltd."|"CI"|""
"298"|"UTair Aviation"|"UT"|""
"327"|"Ultimate Jetcharters LLC dba Ultimate Air Shuttle"|"AQ"|""
"328"|"Norwegian Air Shuttle A.S.A."|"RR"|""
"331"|"SATA  Internacional - Azores Airlines, S.A."|"S4"|""
"335"|"Altenrhein Luftfahrt GmbH dba People's"|"PE"|""
"343"|"Viva Airlines Peru S.A.C"|"VP"|""
"346"|"Karun Airlines"|"9R"|""
"349"|"Freebird Airlines"|"DM"|""
"352"|"AIR COMET"|"A7"|""
"354"|"Cobaltair Ltd dba Cobalt"|"CO"|""
"365"|"FlexFlight ApS"|"W2"|""
"367"|"Badr Airlines"|"IN"|""
"390"|"Aegean Airlines"|"A3"|""
"391"|"Maya Island Air"|"Q3"|""
"394"|"Africa World Airlines Limited"|"HO"|""
"401"|"AMERICA WEST AIRLINE"|"HP"|""
"402"|"Atlantique Air Assistance"|"J0"|""
"409"|"Montenegro Airlines"|"YM"|""
"413"|"Aircompany Somon Air LLC"|"SZ"|""
"419"|"Azman Air Services LTD"|"CF"|""
"421"|"JSC Siberia Airlines dba S7 airlines"|"S7"|""
"427"|"Air Caraibes"|"TX"|""
"439"|"Aigle Azur"|"ZI"|""
"440"|"Groupe Air Senegal (Senegal Airlines)"|"DN"|""
"450"|"AccesRail and Partner Railways"|"9B"|""
"452"|"Air Arabia Maroc"|"3O"|""
"459"|"RwandAir  Limited"|"WB"|""
"464"|"Compania de Servicios de Transporte Aereo Amaszonas - Amaszonas S.A"|"Z8"|""
"465"|"JSC AIR ASTANA"|"KC"|""
"473"|"XL Airways France"|"SE"|""
"475"|"Blue Air Aviation S.A."|"0B"|""
"476"|"Joint-stock company NordStar Airlines dba NORDSTAR"|"Y7"|""
"480"|"British Midland Regional Limited t/a bmi Regional"|"BM"|""
"490"|"Air Senegal S.A."|"3D"|""
"512"|"Royal Jordanian"|"RJ"|""
"527"|"AAA - Air Alps Aviation"|"A6"|""
"536"|"STYRIAN AIRWAYS AG"|"Z2"|""
"540"|"Five Forty Aviation Ltd"|"5H"|""
"546"|"Afriqiyah Airways"|"8U"|""
"555"|"PJSC Aeroflot"|"SU"|""
"564"|"SunExpress"|"XQ"|""
"566"|"Private Stock Company \"Ukraine International Airlines\""|"PS"|""
"567"|"LOS CIPRESES S.A."|"XY"|""
"568"|"Genghis Khan Airlines Co., Ltd"|"LW"|""
"572"|"Air Moldova"|"9U"|""
"577"|"Azul Linhas Aereas Brasileiras"|"AD"|""
"581"|"Germania Flug AG"|"GM"|""
"585"|"AIR ATLANTIQUE"|"V6"|""
"589"|"Jet Airways (India) Limited"|"9W"|""
"599"|"Myanmar Airways International Company Limited"|"8M"|""
"603"|"SriLankan Airlines Limited"|"UL"|""
"606"|"Georgian Airways"|"A9"|""
"607"|"Etihad Airways"|"EY"|""
"610"|"AtlasJet Havacilik A.S. AtlasGlobal"|"KK"|""
"617"|"TUIfly GmbH"|"X3"|""
"618"|"Singapore Airlines Limited"|"SQ"|""
"623"|"Bulgaria Air JSC"|"FB"|""
"624"|"Pegasus Hava Tasimaciligi A.S."|"PC"|""
"627"|"Lao Airlines"|"QV"|""
"628"|"Belavia - Belarusian Airlines"|"B2"|""
"633"|"Sky Express S.A."|"GQ"|""
"636"|"Air Botswana"|"BP"|""
"639"|"Astro Air International Inc. dba PAN PACIFIC AIRLINES"|"RN"|""
"643"|"Air Malta p.l.c."|"KM"|""
"646"|"Nesma Airlines Company Ltd. dba Nesma Airlines"|"IW"|""
"647"|"Small Planet Airlines dba Small Planet Airlines Co., Ltd."|"QI"|""
"649"|"Air Transat"|"TS"|""
"656"|"Air Niugini Pty Limited dba Air Niugini"|"PX"|""
"657"|"Air Baltic Corporation A/S"|"BT"|""
"669"|"Myway Airlines Co.,LTD"|"U8"|""
"670"|"JSC \"TRANSAERO AIRLINES\""|"UN"|""
"672"|"Royal Brunei Airlines Sdn. Bhd."|"BI"|""
"678"|"Passaredo Transportes Aereos S.A."|"G0"|""
