Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tip-global-iata-configuration,,,,11-12-2024 15:20:05,11-12-2024 15:20:26,20.723s,FAILED
,,,,,,,
Test Cases/TIP_Management/tip-global-iata-configuration/FCA-16880_GET TIP Global IATA Configuration,,TIP Global IATA Configuration,"getQuery,tip-global-iata-configuration",11-12-2024 15:20:06,11-12-2024 15:20:26,19.461s,FAILED
Start listener action : Before,,,,11-12-2024 15:20:09,11-12-2024 15:20:16,6.797s,PASSED
"if (flag == ""Y"")",,,,11-12-2024 15:20:18,11-12-2024 15:20:24,6.337s,FAILED
Start listener action : afterTestCase,,,,11-12-2024 15:20:24,11-12-2024 15:20:26,1.332s,FAILED
