Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
card-consents,,,,07-10-2024 14:06:09,07-10-2024 14:06:19,10.073s,PASSED
,,,,,,,
Test Cases/TIP_Management/card-consents/FCA-15725_GET_TIP_Card_Consent_by_Id,,TIP Management - GET TIP Card Consents,"getQuery,getCardConsents,getCardConsentsById",07-10-2024 14:06:09,07-10-2024 14:06:19,9.547s,PASSED
Start listener action : Before,,,,07-10-2024 14:06:11,07-10-2024 14:06:14,2.771s,PASSED
"if (flag == ""Y"")",,,,07-10-2024 14:06:14,07-10-2024 14:06:18,3.718s,PASSED
Start listener action : afterTestCase,,,,07-10-2024 14:06:18,07-10-2024 14:06:19,0.720s,PASSED
