Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
card-consents,,,,07-10-2024 14:02:39,07-10-2024 14:02:49,10.198s,PASSED
,,,,,,,
Test Cases/TIP_Management/card-consents/FCA-15725_GET_TIP_Card_Consent_by_Id,,TIP Management - GET TIP Card Consents,"getQuery,getCardConsents,getCardConsentsById",07-10-2024 14:02:39,07-10-2024 14:02:49,9.604s,PASSED
Start listener action : Before,,,,07-10-2024 14:02:41,07-10-2024 14:02:44,2.884s,PASSED
"if (flag == ""Y"")",,,,07-10-2024 14:02:45,07-10-2024 14:02:48,3.773s,PASSED
Start listener action : afterTestCase,,,,07-10-2024 14:02:48,07-10-2024 14:02:49,0.666s,PASSED
