Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
remittance,,,,11-10-2024 18:09:47,11-10-2024 18:10:00,12.994s,PASSED
,,,,,,,
Test Cases/Variable_Remittance/Remittance Settings/FCA-16034_QueryRemittanceSettingsForAgents,,airline-contact-information,"getQuery,queryRemittanceSettings",11-10-2024 18:09:48,11-10-2024 18:10:00,12.395s,PASSED
Start listener action : Before,,,,11-10-2024 18:09:50,11-10-2024 18:09:52,2.878s,PASSED
"if (flag == ""Y"")",,,,11-10-2024 18:09:53,11-10-2024 18:10:00,6.618s,PASSED
Start listener action : afterTestCase,,,,11-10-2024 18:10:00,11-10-2024 18:10:00,0.657s,PASSED
